('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724721 function calls (705537 primitive calls) in 1.943 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      315    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
  236/234    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        2    0.000    0.000    1.057    0.529 client.py:324(begin)
       10    0.000    0.000    0.000    0.000 connection.py:305(putheader)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      2/1    0.000    0.000    1.620    1.620 sessions.py:673(send)
        1    0.000    0.000    0.258    0.258 connection.py:609(connect)
      299    0.000    0.000    0.000    0.000 element.py:1543(get)
       12    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      196    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      165    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       25    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        8    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      202    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 latin1prober.py:100(Latin1Prober)
      260    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      440    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
        1    0.000    0.000    0.044    0.044 css_parser.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
        1    0.000    0.000    0.004    0.004 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
    38/29    0.000    0.000    0.008    0.000 css_parser.py:726(parse_pseudo_open)
      311    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       42    0.000    0.000    0.301    0.007 response.py:914(stream)
        2    0.000    0.000    1.318    0.659 adapters.py:434(send)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
